Time resolution is 1 ps
========== RESET ==========
[11000 ns] led_out = 0000000000000000
[71000 ns] Reset released
========== TEST 1: 2 vong day du ==========
[111000 ns] start_sig = 1
[131000 ns] start_sig = 0 (1-clock pulse)
[150000 ns] led_out = 0000000000000001
[170000 ns] led_out = 0000000000000011
[190000 ns] led_out = 0000000000000111
[210000 ns] led_out = 0000000000001111
[230000 ns] led_out = 0000000000011111
[250000 ns] led_out = 0000000000111111
[270000 ns] led_out = 0000000001111111
[290000 ns] led_out = 0000000011111111
[310000 ns] led_out = 0000000001111111
[330000 ns] led_out = 0000000000111111
[350000 ns] led_out = 0000000000011111
[370000 ns] led_out = 0000000000001111
[390000 ns] led_out = 0000000000011111
[410000 ns] led_out = 0000000000111111
[430000 ns] led_out = 0000000001111111
[450000 ns] led_out = 0000000011111111
[470000 ns] led_out = 0000000111111111
[490000 ns] led_out = 0000001111111111
[510000 ns] led_out = 0000011111111111
[530000 ns] led_out = 0000111111111111
[550000 ns] led_out = 0000011111111111
[570000 ns] led_out = 0000001111111111
[590000 ns] led_out = 0000000111111111
[610000 ns] led_out = 0000000011111111
[630000 ns] led_out = 0000000111111111
[650000 ns] led_out = 0000001111111111
[670000 ns] led_out = 0000011111111111
[690000 ns] led_out = 0000111111111111
[710000 ns] led_out = 0001111111111111
[730000 ns] led_out = 0011111111111111
[750000 ns] led_out = 0111111111111111
[770000 ns] led_out = 1111111111111111
[790000 ns] led_out = 0111111111111111
[810000 ns] led_out = 0011111111111111
[830000 ns] led_out = 0001111111111111
[850000 ns] led_out = 0000111111111111
[870000 ns] led_out = 0001111111111111
[890000 ns] led_out = 0011111111111111
[910000 ns] led_out = 0111111111111111
[930000 ns] led_out = 1111111111111111
[950000 ns] led_out = 1111111111111110
[970000 ns] led_out = 1111111111111100
[990000 ns] led_out = 1111111111111000
[1010000 ns] led_out = 1111111111110000
[1030000 ns] led_out = 1111111111111000
[1050000 ns] led_out = 1111111111111100
[1070000 ns] led_out = 1111111111111110
[1090000 ns] led_out = 1111111111111111
[1110000 ns] led_out = 1111111111111110
[1130000 ns] led_out = 1111111111111100
[1150000 ns] led_out = 1111111111111000
[1170000 ns] led_out = 1111111111110000
[1190000 ns] led_out = 1111111111100000
[1210000 ns] led_out = 1111111111000000
[1230000 ns] led_out = 1111111110000000
[1250000 ns] led_out = 1111111100000000
[1270000 ns] led_out = 1111111110000000
[1290000 ns] led_out = 1111111111000000
[1310000 ns] led_out = 1111111111100000
[1330000 ns] led_out = 1111111111110000
[1350000 ns] led_out = 1111111111100000
[1370000 ns] led_out = 1111111111000000
[1390000 ns] led_out = 1111111110000000
[1410000 ns] led_out = 1111111100000000
[1430000 ns] led_out = 1111111000000000
[1450000 ns] led_out = 1111110000000000
[1470000 ns] led_out = 1111100000000000
[1490000 ns] led_out = 1111000000000000
[1510000 ns] led_out = 1111100000000000
[1530000 ns] led_out = 1111110000000000
[1550000 ns] led_out = 1111111000000000
[1570000 ns] led_out = 1111111100000000
[1590000 ns] led_out = 1111111000000000
[1610000 ns] led_out = 1111110000000000
[1630000 ns] led_out = 1111100000000000
[1650000 ns] led_out = 1111000000000000
[1670000 ns] led_out = 1110000000000000
[1690000 ns] led_out = 1100000000000000
[1710000 ns] led_out = 1000000000000000
[1730000 ns] led_out = 0000000000000000
[1750000 ns] led_out = 1000000000000000
[1770000 ns] led_out = 1100000000000000
[1790000 ns] led_out = 1110000000000000
[1810000 ns] led_out = 1111000000000000
[1830000 ns] led_out = 1110000000000000
[1850000 ns] led_out = 1100000000000000
[1870000 ns] led_out = 1000000000000000
[1890000 ns] led_out = 0000000000000000
[1910000 ns] led_out = 0000000000000001
[1930000 ns] led_out = 0000000000000011
[1950000 ns] led_out = 0000000000000111
[1970000 ns] led_out = 0000000000001111
[1990000 ns] led_out = 0000000000000111
[2010000 ns] led_out = 0000000000000011
[2030000 ns] led_out = 0000000000000001
[2050000 ns] led_out = 0000000000000000
========== TEST 1: All OFF, kiem tra IDLE ==========
========== TEST 2: 2 vong day du ==========
[2191000 ns] start_sig = 1
[2230000 ns] led_out = 0000000000000001
[2250000 ns] led_out = 0000000000000011
[2270000 ns] led_out = 0000000000000111
[2290000 ns] led_out = 0000000000001111
[2310000 ns] led_out = 0000000000011111
[2330000 ns] led_out = 0000000000111111
[2350000 ns] led_out = 0000000001111111
[2370000 ns] led_out = 0000000011111111
[2390000 ns] led_out = 0000000001111111
[2410000 ns] led_out = 0000000000111111
[2430000 ns] led_out = 0000000000011111
[2450000 ns] led_out = 0000000000001111
[2470000 ns] led_out = 0000000000011111
[2490000 ns] led_out = 0000000000111111
[2510000 ns] led_out = 0000000001111111
[2530000 ns] led_out = 0000000011111111
[2550000 ns] led_out = 0000000111111111
[2570000 ns] led_out = 0000001111111111
[2590000 ns] led_out = 0000011111111111
[2610000 ns] led_out = 0000111111111111
[2630000 ns] led_out = 0000011111111111
[2650000 ns] led_out = 0000001111111111
[2670000 ns] led_out = 0000000111111111
[2690000 ns] led_out = 0000000011111111
[2710000 ns] led_out = 0000000111111111
[2730000 ns] led_out = 0000001111111111
[2750000 ns] led_out = 0000011111111111
[2770000 ns] led_out = 0000111111111111
[2790000 ns] led_out = 0001111111111111
[2810000 ns] led_out = 0011111111111111
[2830000 ns] led_out = 0111111111111111
[2850000 ns] led_out = 1111111111111111
[2870000 ns] led_out = 0111111111111111
[2890000 ns] led_out = 0011111111111111
[2910000 ns] led_out = 0001111111111111
[2930000 ns] led_out = 0000111111111111
[2950000 ns] led_out = 0001111111111111
[2970000 ns] led_out = 0011111111111111
[2990000 ns] led_out = 0111111111111111
[3010000 ns] led_out = 1111111111111111
[3030000 ns] led_out = 1111111111111110
[3050000 ns] led_out = 1111111111111100
[3070000 ns] led_out = 1111111111111000
[3090000 ns] led_out = 1111111111110000
[3110000 ns] led_out = 1111111111111000
[3130000 ns] led_out = 1111111111111100
[3150000 ns] led_out = 1111111111111110
[3170000 ns] led_out = 1111111111111111
[3190000 ns] led_out = 1111111111111110
[3210000 ns] led_out = 1111111111111100
[3230000 ns] led_out = 1111111111111000
[3250000 ns] led_out = 1111111111110000
[3270000 ns] led_out = 1111111111100000
[3290000 ns] led_out = 1111111111000000
[3310000 ns] led_out = 1111111110000000
[3330000 ns] led_out = 1111111100000000
[3350000 ns] led_out = 1111111110000000
[3370000 ns] led_out = 1111111111000000
[3390000 ns] led_out = 1111111111100000
[3410000 ns] led_out = 1111111111110000
[3430000 ns] led_out = 1111111111100000
[3450000 ns] led_out = 1111111111000000
[3470000 ns] led_out = 1111111110000000
[3490000 ns] led_out = 1111111100000000
[3510000 ns] led_out = 1111111000000000
